Bird,ID,Sex,Age,"Reversal learning (tubes)
flexmanip","MAB plastic
flexmanip","MAB log
flexmanip","Detour
inhibition","Reversal learning (touchscreen)
flexmanip","Go No-Go (touchscreen)
inhibition","Causal (touchscreen)
causal","Demonstrator training
sociallearning","Exploration/Boldness (aviaries)
exploration","Exploration/Boldness (wild)
exploration","Focal follows
flexmanip, spaceuse","Radio telemetry
condition, flexforaging, spaceuse","GPX tracks
spaceuse","Nest/Territory check
condition"
Tomatillo,A022-N,M,A,1,3,-,4,-,-,-,-,2,,Y,Y,Y,Y
Queso,A031-Y,M,A,2,4,-,1,5,6,-,-,3,Y,Y,Y,Y,
Tapa,A042GY,F,A,2,4,-,1,5,-,-,-,3,,Y,Y,Y,Y
Yuca,A087AG,F,A,1,3,4,5,-,7,8,6,2,,Y,Y,Y,Y
Marisco,A075Y-,M,A,1,3,4,-,-,-,-,5,2,,Y,Y,Y,
Pizza,A088YR,M,A,1,4,3,-,-,5,-,-,2,,Y,Y,Y,
Mofongo,A090SB,M,A,2,4,5,1,-,6,7,-,3,,Y,Y,Y,
Taquito,A007-S,M,A,1,3,4,5,-,6,7,-,2,Y,Y,Y,Y,Y
Chalupa,A025GO,F,A,1,3,-,4,-,-,-,-,2,Y,Y,Y,Y,Y
Mole,A035P-,M,A,1,3,4,5,6,7,-,-,2,,Y,Y,Y,Y
Habanero,A036R-,M,A,1,3,4,5,6,-,-,-,2,,Y,Y,Y,
Diablo,A064LR,M,A,1,4,3,5,-,7,8,6,2,,Y,Y,Y,Y
Burrito,A068YS,M,A,1,3,4,5,-,7,8,6,2,,Y,Y,Y,Y
Adobo,A073OL,M,A,2,4,5,1,-,7,8,6,3,,Y,Y,Y,
Chilaquile,A086GB,M,J,1,4,3,5,-,6,7,-,2,,Y,Y,Y,
Pollito,A096NS,M,A,1,3,4,5,-,-,-,-,2,,Y,Y,Y,
Taco,A070KP,M,J,1,5,4,6,-,-,-,3,2,Y,Y,Y,Y,
Memela,A043KR,F,A,1,-,-,-,-,-,-,-,-,Y,Y,Y,Y,Y
Fideo,A044KS,M,A,1,-,-,-,-,-,-,-,2,Y,Y,Y,Y,Y
Avocada,A046NG,F,A,1,-,-,-,-,-,-,-,2,,,Y,Y,Y
Pavo,A082OY,M,A,-,-,-,1,-,-,-,-,-,,Y,,Y,Y
Huachinago,A089GY,M,A,2,-,-,1,-,-,-,-,-,,Y,Y,Y,Y
Guacamole,A098RR,M,A,1,-,-,-,-,-,-,-,-,,Y,Y,Y,
Elote,A091YO,F,A,-,-,-,-,-,-,-,-,-,,Y,Y,Y,
Paella,A092SN,F,A,1,-,-,-,-,-,-,-,-,,Y,,Y,Y
Concha,A093AO,F,A,1,-,-,-,-,-,-,-,-,,Y,Y,Y,
Pupusa,A097SO,F,A,1,-,-,-,-,-,-,-,-,,Y,Y,Y,Y
Fresca,A037BY,F,A,1,-,-,-,-,-,-,-,-,,,,Y,
Chimichanga,A023OY,F,A,1,-,-,-,-,-,-,-,-,Y,Y,,Y,Y
Chancaca,A049BA,F,A,-,-,-,-,-,-,-,-,-,,Y,,Y,Y
Pernil,A094OP,M,A,-,-,-,-,-,-,-,-,-,,Y,Y,Y,Y
Jamaica,A026PP,F,A,-,-,-,-,-,-,-,-,-,Y,,,Y,
Nopal,A033GG,F,A,-,-,-,-,-,-,-,-,-,,Y,,Y,
Platana,A045YY,F,A,-,-,-,-,-,-,-,-,-,,,,Y,
Empanada,A001YP,F,A,1,-,-,-,-,-,-,-,-,,,,Y,
Fajita,A002PB,F,A,1,2,-,-,-,-,-,-,-,,Y,,Y,
Gordita,A003BO,F,A,,,,,,,,,,,,,,
Quesadilla,A0013OR,F,A,,,,,,,,,,,Y,,Y,Y
Flauta,A005RG,F,A,,,,,,,,,,,,,Y,
Nacho,A006-V,M,A,,,,,,,,,,,Y,,Y,Y
Papa,A008PY,F,A,,,,,,,,,,,,,Y,
Chile,A009-L,F,A,,,,,,,,,,Y,Y,,Y,Y
Palomita,A010BR,F,A,,,,,,,,,,,Y,,Y,Y
Al Pastor,A010-A,M,A,,,,,,,,,,,,,,
Botana,A012RB,F,A,,,,,,,,,,,,,,
