Tomatillo,1,M,40,50,50,Control,3,NA,317,NA,NA,NA,13,NA
Queso,1,M,50,70,70,Control,1,NA,88,NA,330,460,8,NA
Tapa,1,F,30,100,100,Control,4,NA,685,NA,450,(629+),13,NA
Yuca,3,F,40,80,80,Control,4,4,132,77,NA,NA,13,11
Marisco,3,M,40,50,50,Control,1,2,NA,208,NA,NA,4,7
Pizza,3,M,50,60,60,Control,0,1,NA,1482,NA,NA,0,8
Mofongo,4,M,20,40,40,Control,3,4,502,630,NA,NA,13,14
Taquito,4,M,90,160,160,Control,0,4,NA,100,NA,NA,11,10
Chalupa,1,F,50,90,50,8,0,NA,NA,NA,NA,NA,6,NA
Mole,1,M,30,70,50,7,4,4,356,1173,431,307,14,15
Habanero,1,M,50,80,40,6,4,NA,28,NA,350,290,15,NA
Diablo,3,M,20,80,40,8,2,1,25,NA,NA,NA,10,2
Burrito,3,M,40,60,23,8,3,4,76,391,NA,NA,17,18
Adobo,3,M,50,100,50,6,4,4,31,79,NA,NA,16,18
Chilaquile,3,JM,30,40,30,6,4,4,44,170,NA,NA,19,11
Pollito,4,M,40,60,40,8,0,3,NA,668,NA,NA,0,11
Taco,3a,JM,50,80,80,(Control),1,4,NA,117,NA,NA,3,19
Memela,1,F,50,60,80,X (11+),NA,NA,NA,NA,NA,NA,NA,NA
Fideo,2,M,60,70,70,Control,NA,NA,NA,NA,NA,NA,NA,NA
Avocada,1,F,50,100,100,Control,NA,NA,NA,NA,NA,NA,NA,NA
Huachinago,3,M,70,NA,NA,Control,NA,NA,NA,NA,NA,NA,NA,NA
Guacamole,4,M,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
